Name,Nationality,Gender,Museum,SmallMuseum
Maxwell MacKenzie,American,Male,The Phillips Collection,Yes
Sijae Byun,South Korean,Female,The Phillips Collection,Yes
Joseph Holston,African-American,Male,The Phillips Collection,Yes
John F. Simon Jr.,American,Male,The Phillips Collection,Yes
Alice Adams,American,Female,The Phillips Collection,Yes
Siri Berg,Swedish,Female,The Phillips Collection,Yes
Emily Berger,American,Female,The Phillips Collection,Yes
Susan Bonfils,American,Female,The Phillips Collection,Yes
Power Boothe,American,Male,The Phillips Collection,Yes
Henry Brown,American,Male,The Phillips Collection,Yes
Kenneth Bushnell,American,Male,The Phillips Collection,Yes
James O. Clark,American,Male,The Phillips Collection,Yes
Gabriele Evertz,German,Female,The Phillips Collection,Yes
John Goodyear,American,Male,The Phillips Collection,Yes
Gail Gregg,American,Female,The Phillips Collection,Yes
James Gross,American,Male,The Phillips Collection,Yes
Lynne Harlow,American,Female,The Phillips Collection,Yes
Mara Held,American,Female,The Phillips Collection,Yes
Daniel G. Hill,American,Male,The Phillips Collection,Yes
Gilbert Hsiao,Chinese,Male,The Phillips Collection,Yes
Phillis Ideal,American,Female,The Phillips Collection,Yes
Julian Jackson,American,Male,The Phillips Collection,Yes
James Juszczyk,American,Male,The Phillips Collection,Yes
Cecily Kahn,American,Female,The Phillips Collection,Yes
Bernhard Hildebrandt,German,Male,The Phillips Collection,Yes
Jeanne Silverthorne,American,Female,The Phillips Collection,Yes
Alyson Shotz,American,Female,The Phillips Collection,Yes
Allan deSouza,Kenyan,Male,The Phillips Collection,Yes
Paolo Ventura,Italian,Male,The Phillips Collection,Yes
Jörg Immendorff,German,Male,The Phillips Collection,Yes
Per Kirkeby,Danish,Male,The Phillips Collection,Yes
Sheila Pye,Canadian,Female,The Phillips Collection,Yes
Nicholas Pye,Canadian,Male,The Phillips Collection,Yes
Lee Boroson,American,Male,The Phillips Collection,Yes
Annabel Daou,Lebanese,Female,The Phillips Collection,Yes
F. Holland Day,American,Male,The Phillips Collection,Yes
Brian Dailey,American,Male,The Phillips Collection,Yes
Kara Walker,African-American,Female,The Phillips Collection,Yes
Ralph Gibson,American,Male,The Phillips Collection,Yes
Jungjin Lee,South Korean,Female,The Phillips Collection,Yes
Stephen Talasnik,American,Male,The Phillips Collection,Yes
Jake Berthot,American,Male,The Phillips Collection,Yes
Sharon Core,American,Female,The Phillips Collection,Yes
Enrique Martínez Celaya,Cuban,Male,The Phillips Collection,Yes
Dean Kessmann,American,Male,The Phillips Collection,Yes
Karel Appel,Dutch ,Male,The Phillips Collection,Yes
McArthur Binion,African-American,Male,The Phillips Collection,Yes
Paul Reed,American,Male,The Phillips Collection,Yes
Helen C. Frederick,American,Female,The Phillips Collection,Yes
Kate Shepherd,American,Female,The Phillips Collection,Yes
Bettina Pousttchi,German,Female,The Phillips Collection,Yes
Jonathan Lasker,American,Male,The Phillips Collection,Yes
Kathy Muehlemann,American,Female,The Phillips Collection,Yes
Renée Stout,African-American,Female,The Phillips Collection,Yes
Val Lewton,American,Male,The Phillips Collection,Yes
Manuel Neri,Mexican,Male,The Phillips Collection,Yes
Ellington Robinson,African-American,Male,The Phillips Collection,Yes
Nara Park,South Korean,Female,The Phillips Collection,Yes
Anselm Kiefer,German,Male,The Phillips Collection,Yes
Stephen Dean,American,Male,The Phillips Collection,Yes
Zoë Charlton,African-American,Female,The Phillips Collection,Yes
Susan Rothenberg,American,Female,The Phillips Collection,Yes
Simone Leigh,African-American,Female,The Phillips Collection,Yes
Malerie Marder,American,Female,The Phillips Collection,Yes
Torbjørn Rødland,Norwegian,Male,The Phillips Collection,Yes
Amy Cutler,American,Female,The Phillips Collection,Yes
Jeanine Michna-Bales,American,Female,The Phillips Collection,Yes
Tobi Kahn,American,Male,The Phillips Collection,Yes
Mwangi Hutter,Kenyan,Non-binary,The Phillips Collection,Yes
Kate Beynon,Australian,Female,The Phillips Collection,Yes
Howard Hodgkin,British,Male,The Phillips Collection,Yes
Sam Taylor-Johnson,British,Female,The Phillips Collection,Yes
Frank Thiel,German,Male,The Phillips Collection,Yes
Leo Villareal,American,Male,The Phillips Collection,Yes
Sean Scully,Irish-American,Male,The Phillips Collection,Yes
Elizabeth Murray,American,Female,The Phillips Collection,Yes
Bill Jensen,American,Male,The Phillips Collection,Yes
Andrea Way,American,Female,The Phillips Collection,Yes
Lee Friedlander,American,Male,The Phillips Collection,Yes
Jorge Pardo,Cuban-American,Male,The Phillips Collection,Yes
Sophy Rickett,British,Female,The Phillips Collection,Yes
Hiroshi Sugimoto,Japanese,Male,The Phillips Collection,Yes
Lou Stovall,African-American,Male,The Phillips Collection,Yes
David Driskell,African-American,Male,The Phillips Collection,Yes
Thomas Demand,German,Male,The Phillips Collection,Yes
John Walker,British-American,Male,The Phillips Collection,Yes
William Christenberry,American,Male,The Phillips Collection,Yes
Catherine Yass,British,Female,The Phillips Collection,Yes
Massimo Vitali,Italian,Male,The Phillips Collection,Yes
Edward Burtynsky,Canadian-Ukrainian,Male,The Phillips Collection,Yes
Harri Kallio,Finnish,Male,The Phillips Collection,Yes
Astrid Kruse Jensen,Danish,Female,The Phillips Collection,Yes
Richard Misrach,American ,Male,The Phillips Collection,Yes
Abelardo Morell,Cuban-American,Male,The Phillips Collection,Yes
Lori Nix,American,Female,The Phillips Collection,Yes
Erwin Olaf,Dutch ,Male,The Phillips Collection,Yes
Alex Webb,American,Male,The Phillips Collection,Yes
Joseph Marioni,American,Male,The Phillips Collection,Yes
Tayo Heuser,American,Female,The Phillips Collection,Yes
Ólafur Elíasson,Icelandic-Danish,Male,The Phillips Collection,Yes
Chuck Close,American,Male,The Phillips Collection,Yes
Bill Viola,American,Male,The Phillips Collection,Yes
David Salle,American,Male,The Phillips Collection,Yes
Eric Fischl,American,Male,The Phillips Collection,Yes
Andres Serrano,American,Male,The Phillips Collection,Yes
Lou Reed,American,Male,The Phillips Collection,Yes
April Gornik,American,Female,The Phillips Collection,Yes
Ross Bleckner,American,Male,The Phillips Collection,Yes
Laurie Simmons,American,Female,The Phillips Collection,Yes
Lyle Ashton-Harris,American,Male,The Phillips Collection,Yes
Vik Muniz,Brazilian,Male,The Phillips Collection,Yes
Antony Gormley,British,Male,The Phillips Collection,Yes
Aimé Mpane,Congolese,Male,The Phillips Collection,Yes
Arnold Newman,American,Male,The Phillips Collection,Yes
Francesco Nonino,Italian,Male,The Phillips Collection,Yes
Renato d'Agostin,Italian,Male,The Phillips Collection,Yes
Florence Pierce,American,Female,The Phillips Collection,Yes
Justine Otto,German,Female,The Phillips Collection,Yes
A Balasubramaniam,Indian,Male,The Phillips Collection,Yes
Jennifer Wen Ma,Chinese-American,Female,The Phillips Collection,Yes
Barbara Liotta,American,Female,The Phillips Collection,Yes
Mark Power,British,Male,The Phillips Collection,Yes
Xavier Veilhan,French ,Male,The Phillips Collection,Yes
Tylonn J. Sawyer,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Mark Delmont,Haitian Jamaican,Male,N'Namdi Contemporary Fine Art,Yes
Senghor Reid,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Rashaun Rucker,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Francks F. Deceus,Haitian,Male,N'Namdi Contemporary Fine Art,Yes
Sephen Arboite,Haitian,Male,N'Namdi Contemporary Fine Art,Yes
Gregory Coates,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Vicente Pimentel,Dominican,Male,N'Namdi Contemporary Fine Art,Yes
Lucy Slivinski,American,Female,N'Namdi Contemporary Fine Art,Yes
Sidney Blu,Nigerian,Male,N'Namdi Contemporary Fine Art,Yes
Cleveland Dean,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Chinemerem Omeh,Nigerian,Male,N'Namdi Contemporary Fine Art,Yes
Maxwell Pearce,African-American,Male,N'Namdi Contemporary Fine Art,Yes
Rashid Johnson,African-American,Male,Storm King Art Center,Yes
Martin Puryear,African-American,Male,Storm King Art Center,Yes
Alice Aycock,American,Female,Storm King Art Center,Yes
David Brooks,Canadian-American,Male,Storm King Art Center,Yes
Daniel Buren,French,Male,Storm King Art Center,Yes
Peter Coffin,American,Male,Storm King Art Center,Yes
Mark Dion,American,Male,Storm King Art Center,Yes
Mark di Suvero,American,Male,Storm King Art Center,Yes
Andy Goldsworthy,English,Male,Storm King Art Center,Yes
Ursula von Rydingsvard,Polish-Ukrainian,Female,Storm King Art Center,Yes
